study_id,report_pmid,arm,site,grafted,timepoint_months,n,mean_mbl,sd_mbl,nominal_length_mm,diameter_mm,platform_level,collar_height_mm,endosseous_length_mm,measured_from,flags
esposito-4mm-augmented,10.36130/CTD.02.2020.02,short,maxilla,ungrafted,12,19,0.63,0.15,4.0,4.0/4.5,tissue,1.5,4,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,long,maxilla,grafted,12,16,0.72,0.25,11.5 (mixed 10.0-13.0; see quote),4.0/4.5,tissue,1.5,,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,short,mandible,ungrafted,36,17,0.62,0.58,4.0,4.0/4.5,tissue,1.5,4,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,long,mandible,grafted,36,15,0.71,0.13,10.0 (mixed 6.0-13.0; see quote),4.0/4.5,tissue,1.5,,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,short,maxilla,ungrafted,36,15,1.14,0.22,4.0,4.0/4.5,tissue,1.5,4,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,long,maxilla,grafted,36,17,0.73,0.78,11.5 (mixed 10.0-13.0; see quote),4.0/4.5,tissue,1.5,,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,35688421,short,mixed,ungrafted,60,,0.58,0.40,4.0,,tissue,1.5,4,"not specified in congress abstract (5-year peri-implant marginal bone level change since loading, method as per earlier full-text reports)",
esposito-4mm-augmented,35688421,long,mixed,ungrafted,60,,0.99,0.58,10.0-13.0,,tissue,1.5,,"not specified in congress abstract (5-year peri-implant marginal bone level change since loading, method as per earlier full-text reports)",
W1564520892,21722191,short,maxilla,ungrafted,12,23,0.7,,6,3.3/4.1 (mixed),tissue,1.8,6,loading,
W1564520892,21722191,long,maxilla,ungrafted,12,48,1.3,,10/12/14 (mixed),3.3/4.1 (mixed),tissue,1.8,,loading,
W1564520892,21722191,short,maxilla,ungrafted,24,23,1.0,,6,3.3/4.1 (mixed),tissue,1.8,6,loading,
W1564520892,21722191,long,maxilla,ungrafted,24,48,1.5,,10/12/14 (mixed),3.3/4.1 (mixed),tissue,1.8,,loading,
W3152386461,33917587,short,maxilla,ungrafted,6,12,0.01,0.11,4,4.1,tissue,1.8,4,prosthesis delivery (baseline),sign-flipped(neg=loss convention)
W3152386461,33917587,short,maxilla,ungrafted,12,12,0.04,0.13,4,4.1,tissue,1.8,4,prosthesis delivery (baseline),sign-flipped(neg=loss convention)
W3152386461,33917587,short,maxilla,ungrafted,18,12,0.17,0.29,4,4.1,tissue,1.8,4,prosthesis delivery (baseline),sign-flipped(neg=loss convention)
W3152386461,33917587,short,maxilla,ungrafted,24,12,0.28,0.37,4,4.1,tissue,1.8,4,prosthesis delivery (baseline),sign-flipped(neg=loss convention)
W3152386461,33917587,long,maxilla,ungrafted,6,10,0.21,0.33,10,4.1,bone,0,10,prosthesis delivery (baseline),sign-flipped(neg=loss convention)
W3152386461,33917587,long,maxilla,ungrafted,12,10,0.3,0.32,10,4.1,bone,0,10,prosthesis delivery (baseline),sign-flipped(neg=loss convention)
W3152386461,33917587,long,maxilla,ungrafted,18,10,0.4,0.37,10,4.1,bone,0,10,prosthesis delivery (baseline),sign-flipped(neg=loss convention)
W3152386461,33917587,long,maxilla,ungrafted,24,10,0.54,0.49,10,4.1,bone,0,10,prosthesis delivery (baseline),sign-flipped(neg=loss convention)
W4392986199,38690245,short,mandible,ungrafted,0,10,0.26,0.14,5,5.0,bone,0,5,loading,
W4392986199,38690245,short,mandible,ungrafted,6,10,0.21,0.07,5,5.0,bone,0,5,loading,
W4392986199,38690245,short,mandible,ungrafted,9,10,0.15,0.11,5,5.0,bone,0,5,loading,
W4392986199,38690245,short,mandible,ungrafted,12,10,0.14,0.05,5,5.0,bone,0,5,loading,
W1911723484,26391214,short,mixed,ungrafted,0,25,,,6,4,bone,0,6,"Paper's own 'baseline' = day of restoration placement (bitewing radiograph, Dolphin software); NOTE this baseline is already non-zero (medians 0.35/0.40/0.50mm for 6/8/11mm arms), i.e. it already reflects bone change accrued since implant placement/healing - true zero-reference is implant placement, not what the paper calls baseline.",
W1911723484,26391214,short,mixed,ungrafted,6,25,,,6,4,bone,0,6,"Paper's own 'baseline' = day of restoration placement (bitewing radiograph, Dolphin software); NOTE this baseline is already non-zero (medians 0.35/0.40/0.50mm for 6/8/11mm arms), i.e. it already reflects bone change accrued since implant placement/healing - true zero-reference is implant placement, not what the paper calls baseline.",
W1911723484,26391214,short,mixed,ungrafted,12,25,,,6,4,bone,0,6,"Paper's own 'baseline' = day of restoration placement (bitewing radiograph, Dolphin software); NOTE this baseline is already non-zero (medians 0.35/0.40/0.50mm for 6/8/11mm arms), i.e. it already reflects bone change accrued since implant placement/healing - true zero-reference is implant placement, not what the paper calls baseline.",
W1911723484,26391214,short,mixed,ungrafted,24,25,,,6,4,bone,0,6,"Paper's own 'baseline' = day of restoration placement (bitewing radiograph, Dolphin software); NOTE this baseline is already non-zero (medians 0.35/0.40/0.50mm for 6/8/11mm arms), i.e. it already reflects bone change accrued since implant placement/healing - true zero-reference is implant placement, not what the paper calls baseline.",
W1911723484,26391214,mid,mixed,ungrafted,0,20,,,8,4,bone,0,8,"Paper's own 'baseline' = day of restoration placement (bitewing radiograph, Dolphin software); NOTE this baseline is already non-zero (medians 0.35/0.40/0.50mm for 6/8/11mm arms), i.e. it already reflects bone change accrued since implant placement/healing - true zero-reference is implant placement, not what the paper calls baseline.",
W1911723484,26391214,mid,mixed,ungrafted,6,20,,,8,4,bone,0,8,"Paper's own 'baseline' = day of restoration placement (bitewing radiograph, Dolphin software); NOTE this baseline is already non-zero (medians 0.35/0.40/0.50mm for 6/8/11mm arms), i.e. it already reflects bone change accrued since implant placement/healing - true zero-reference is implant placement, not what the paper calls baseline.",
W1911723484,26391214,mid,mixed,ungrafted,12,20,,,8,4,bone,0,8,"Paper's own 'baseline' = day of restoration placement (bitewing radiograph, Dolphin software); NOTE this baseline is already non-zero (medians 0.35/0.40/0.50mm for 6/8/11mm arms), i.e. it already reflects bone change accrued since implant placement/healing - true zero-reference is implant placement, not what the paper calls baseline.",
W1911723484,26391214,mid,mixed,ungrafted,24,20,,,8,4,bone,0,8,"Paper's own 'baseline' = day of restoration placement (bitewing radiograph, Dolphin software); NOTE this baseline is already non-zero (medians 0.35/0.40/0.50mm for 6/8/11mm arms), i.e. it already reflects bone change accrued since implant placement/healing - true zero-reference is implant placement, not what the paper calls baseline.",
W1911723484,26391214,long,mixed,ungrafted,0,35,,,11,4,bone,0,11,"Paper's own 'baseline' = day of restoration placement (bitewing radiograph, Dolphin software); NOTE this baseline is already non-zero (medians 0.35/0.40/0.50mm for 6/8/11mm arms), i.e. it already reflects bone change accrued since implant placement/healing - true zero-reference is implant placement, not what the paper calls baseline.",
W1911723484,26391214,long,mixed,ungrafted,6,35,,,11,4,bone,0,11,"Paper's own 'baseline' = day of restoration placement (bitewing radiograph, Dolphin software); NOTE this baseline is already non-zero (medians 0.35/0.40/0.50mm for 6/8/11mm arms), i.e. it already reflects bone change accrued since implant placement/healing - true zero-reference is implant placement, not what the paper calls baseline.",
W1911723484,26391214,long,mixed,ungrafted,12,35,,,11,4,bone,0,11,"Paper's own 'baseline' = day of restoration placement (bitewing radiograph, Dolphin software); NOTE this baseline is already non-zero (medians 0.35/0.40/0.50mm for 6/8/11mm arms), i.e. it already reflects bone change accrued since implant placement/healing - true zero-reference is implant placement, not what the paper calls baseline.",
W1911723484,26391214,long,mixed,ungrafted,24,35,,,11,4,bone,0,11,"Paper's own 'baseline' = day of restoration placement (bitewing radiograph, Dolphin software); NOTE this baseline is already non-zero (medians 0.35/0.40/0.50mm for 6/8/11mm arms), i.e. it already reflects bone change accrued since implant placement/healing - true zero-reference is implant placement, not what the paper calls baseline.",
W2796429064,29621074,short,mandible,ungrafted,12,63,0.2,0.03,5.5,4.3-5.3 (range),tissue,2.5,5.5,"Bone level recorded immediately after surgical implant insertion (intraosseous length measured post-op) = reference point; measured mesially+distally via calibrated periapical radiographs (ITK-SNAP software) by 2 independent examiners, then a single per-implant mean loss used in Results (mesial/distal not reported separately).",
W2796429064,29621074,long,mandible,ungrafted,12,,0.18,0.01,8.2-10 (range),3.5-4.1 (range),tissue,2.5,,"Bone level recorded immediately after surgical implant insertion (intraosseous length measured post-op) = reference point; measured mesially+distally via calibrated periapical radiographs (ITK-SNAP software) by 2 independent examiners, then a single per-implant mean loss used in Results (mesial/distal not reported separately).",
W2796429064,29621074,short,mandible,ungrafted,49,63,1.1,0.77,5.5,4.3-5.3 (range),tissue,2.5,5.5,"Bone level recorded immediately after surgical implant insertion (intraosseous length measured post-op) = reference point; measured mesially+distally via calibrated periapical radiographs (ITK-SNAP software) by 2 independent examiners, then a single per-implant mean loss used in Results (mesial/distal not reported separately).",
W2796429064,29621074,long,mandible,ungrafted,49,,1.2,0.32,8.2-10 (range),3.5-4.1 (range),tissue,2.5,,"Bone level recorded immediately after surgical implant insertion (intraosseous length measured post-op) = reference point; measured mesially+distally via calibrated periapical radiographs (ITK-SNAP software) by 2 independent examiners, then a single per-implant mean loss used in Results (mesial/distal not reported separately).",
W3003957245,32012979,long,maxilla,ungrafted,0,11,1.04,0.78,8,3.3 or 4.1 (mixed),tissue,1.8,8,"Implant placement (day of surgery) = baseline; MBL measured from implant shoulder to first bone-to-implant contact on standardized periapical radiographs (paralleling technique, custom bite blocks), 1.8mm polished-neck portion subtracted from all readings before comparison.",
W3003957245,32012979,long,maxilla,ungrafted,12,11,1.27,0.85,8,3.3 or 4.1 (mixed),tissue,1.8,8,"Implant placement (day of surgery) = baseline; MBL measured from implant shoulder to first bone-to-implant contact on standardized periapical radiographs (paralleling technique, custom bite blocks), 1.8mm polished-neck portion subtracted from all readings before comparison.",
W3003957245,32012979,long,maxilla,ungrafted,24,11,0.87,0.41,8,3.3 or 4.1 (mixed),tissue,1.8,8,"Implant placement (day of surgery) = baseline; MBL measured from implant shoulder to first bone-to-implant contact on standardized periapical radiographs (paralleling technique, custom bite blocks), 1.8mm polished-neck portion subtracted from all readings before comparison.",
W3003957245,32012979,short,maxilla,ungrafted,0,11,0.89,0.88,4,4.1,tissue,1.8,4,"Implant placement (day of surgery) = baseline; MBL measured from implant shoulder to first bone-to-implant contact on standardized periapical radiographs (paralleling technique, custom bite blocks), 1.8mm polished-neck portion subtracted from all readings before comparison.",
W3003957245,32012979,short,maxilla,ungrafted,12,11,1.37,1.01,4,4.1,tissue,1.8,4,"Implant placement (day of surgery) = baseline; MBL measured from implant shoulder to first bone-to-implant contact on standardized periapical radiographs (paralleling technique, custom bite blocks), 1.8mm polished-neck portion subtracted from all readings before comparison.",
W3003957245,32012979,short,maxilla,ungrafted,24,11,1.14,0.95,4,4.1,tissue,1.8,4,"Implant placement (day of surgery) = baseline; MBL measured from implant shoulder to first bone-to-implant contact on standardized periapical radiographs (paralleling technique, custom bite blocks), 1.8mm polished-neck portion subtracted from all readings before comparison.",
felice-4x4,26355167,short,mixed,ungrafted,0,74,0.298,0.506,4.0,4.0,tissue,1.5,4,"periapical radiograph paralleling technique; mesial+distal crestal bone level to implant axis, OsiriX calibrated to implant diameter; reference = implant collar apical margin to first bone-to-implant contact",
felice-4x4,26355167,long,mixed,ungrafted,0,73,0.255,0.160,8.5-13.0 (mean 9.95mm; see quote),4.0,tissue,1.5,,"periapical radiograph paralleling technique; mesial+distal crestal bone level to implant axis, OsiriX calibrated to implant diameter; reference = implant collar apical margin to first bone-to-implant contact",
felice-4x4,26355167,short,mixed,ungrafted,4,74,0.399,0.264,4.0,4.0,tissue,1.5,4,"periapical radiograph paralleling technique; mesial+distal crestal bone level to implant axis, OsiriX calibrated to implant diameter; reference = implant collar apical margin to first bone-to-implant contact",
felice-4x4,26355167,long,mixed,ungrafted,4,73,0.434,0.245,8.5-13.0 (mean 9.95mm; see quote),4.0,tissue,1.5,,"periapical radiograph paralleling technique; mesial+distal crestal bone level to implant axis, OsiriX calibrated to implant diameter; reference = implant collar apical margin to first bone-to-implant contact",
felice-4x4,doi:10.36130/CTD.01.2019.03,short,mixed,ungrafted,12,75,0.550,0.257,4.0,4.0,tissue,1.5,4,"periapical radiograph paralleling technique; mesial+distal crestal bone level to implant axis, OsiriX calibrated to implant diameter; reference = implant collar apical margin to first bone-to-implant contact",
felice-4x4,doi:10.36130/CTD.01.2019.03,long,mixed,ungrafted,12,73,0.616,0.262,8.5-13.0 (mean 9.94mm; see quote),4.0,tissue,1.5,,"periapical radiograph paralleling technique; mesial+distal crestal bone level to implant axis, OsiriX calibrated to implant diameter; reference = implant collar apical margin to first bone-to-implant contact",
felice-4x4,doi:10.36130/CTD.01.2019.03,short,mixed,ungrafted,36,72,0.58,0.26,4.0,4.0,tissue,1.5,4,"periapical radiograph paralleling technique; mesial+distal crestal bone level to implant axis, OsiriX calibrated to implant diameter; reference = implant collar apical margin to first bone-to-implant contact",
felice-4x4,doi:10.36130/CTD.01.2019.03,long,mixed,ungrafted,36,69,0.66,0.30,8.5-13.0 (mean 9.94mm; see quote),4.0,tissue,1.5,,"periapical radiograph paralleling technique; mesial+distal crestal bone level to implant axis, OsiriX calibrated to implant diameter; reference = implant collar apical margin to first bone-to-implant contact",
2,31116188,short,mandible,ungrafted,0,20,0.59,0.05,6.0,4.0,,,6,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,long,mandible,grafted,0,19,0.55,0.05,,4.0,bone,0,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,short,maxilla,ungrafted,0,20,0.47,0.05,6.0,4.0,,,6,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,long,maxilla,grafted,0,20,0.57,0.04,,4.0,bone,0,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,short,mandible,ungrafted,12,19,1.05,0.06,6.0,4.0,,,6,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,long,mandible,grafted,12,18,1.07,0.06,,4.0,bone,0,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,short,maxilla,ungrafted,12,20,1.02,0.06,6.0,4.0,,,6,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,long,maxilla,grafted,12,20,1.09,0.05,,4.0,bone,0,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,short,mandible,ungrafted,36,15,1.25,0.35,6.0,4.0,,,6,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,long,mandible,grafted,36,14,1.54,0.14,,4.0,bone,0,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,short,maxilla,ungrafted,36,18,1.28,0.37,6.0,4.0,,,6,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,long,maxilla,grafted,36,18,1.5,0.37,,4.0,bone,0,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,short,mandible,ungrafted,60,12,1.34,0.35,6.0,4.0,,,6,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,long,mandible,grafted,60,12,2.11,0.59,,4.0,bone,0,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,short,maxilla,ungrafted,60,16,1.52,0.47,6.0,4.0,,,6,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,31116188,long,maxilla,grafted,60,16,1.85,0.51,,4.0,bone,0,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool + OsiriX),
2,24570981,short,mandible,ungrafted,12,18,1.05,0.06,6.0,4.0,,,6,not stated in abstract,sd-from-SR(Starch-Jensen & Nielsen 2018 JOMR 9(2):e2 Table 3 (PMC609025)
2,24570981,long,mandible,grafted,12,18,1.07,0.06,,4.0,,,,not stated in abstract,sd-from-SR(Starch-Jensen & Nielsen 2018 JOMR 9(2):e2 Table 3 (PMC609025)
2,24570981,short,maxilla,ungrafted,12,20,1.02,0.060,6.0,4.0,,,6,not stated in abstract,"derived-borrowed(from 12m, same trial/arm)"
2,24570981,long,maxilla,grafted,12,20,1.09,0.050,,4.0,,,,not stated in abstract,"derived-borrowed(from 12m, same trial/arm)"
2,29806665,short,mandible,ungrafted,36,17,1.25,0.350,6.0,4.0,,,6,not stated in abstract,"derived-borrowed(from 36m, same trial/arm)"
2,29806665,long,mandible,grafted,36,17,1.54,0.140,,4.0,,,,not stated in abstract,"derived-borrowed(from 36m, same trial/arm)"
2,29806665,short,maxilla,ungrafted,36,18,1.28,0.370,6.0,4.0,,,6,not stated in abstract,"derived-borrowed(from 36m, same trial/arm)"
2,29806665,long,maxilla,grafted,36,18,1.5,0.370,,4.0,,,,not stated in abstract,"derived-borrowed(from 36m, same trial/arm)"
cannizzaro-crossarch,25738177,short,mandible,ungrafted,12,15,0.08,0.03,5.0,5.0,bone,0,5,"peri-implant marginal bone level change, implant collar (most coronal margin) to most coronal bone-to-implant contact, periapical radiograph paralleling technique, mesial+distal averaged then patient-averaged; baseline = implant placement radiograph, follow-up = 1yr post-loading",n=patients(cross-arch; implant conversion pending descriptives)
cannizzaro-crossarch,25738177,long,mandible,ungrafted,12,15,0.51,0.10,11.5,4.1,bone,1.25,,"peri-implant marginal bone level change, implant collar (most coronal margin) to most coronal bone-to-implant contact, periapical radiograph paralleling technique, mesial+distal averaged then patient-averaged; baseline = implant placement radiograph, follow-up = 1yr post-loading",n=patients(cross-arch; implant conversion pending descriptives)
cannizzaro-crossarch,25738177,short,maxilla,ungrafted,12,15,0.15,0.04,5.0,5.0,bone,0,5,"peri-implant marginal bone level change, implant collar (most coronal margin) to most coronal bone-to-implant contact, periapical radiograph paralleling technique, mesial+distal averaged then patient-averaged; baseline = implant placement radiograph, follow-up = 1yr post-loading",n=patients(cross-arch; implant conversion pending descriptives)
cannizzaro-crossarch,25738177,long,maxilla,ungrafted,12,15,0.62,0.12,11.5,4.1,bone,1.25,,"peri-implant marginal bone level change, implant collar (most coronal margin) to most coronal bone-to-implant contact, periapical radiograph paralleling technique, mesial+distal averaged then patient-averaged; baseline = implant placement radiograph, follow-up = 1yr post-loading",n=patients(cross-arch; implant conversion pending descriptives)
cannizzaro-crossarch,30246183,short,mandible,ungrafted,60,,0.22,0.030,5.0,5.0,bone,0,5,"peri-implant marginal bone level change from implant placement to 5 years, patient-level (per 1-yr report methodology); abstract does not restate measurement method explicitly, inherited from index report","derived-borrowed(from 12m, same trial/arm); n=patients(cross-arch; implant conversion pending descriptives)"
cannizzaro-crossarch,30246183,long,mandible,ungrafted,60,,0.83,0.100,11.5,4.1,bone,1.25,,"peri-implant marginal bone level change from implant placement to 5 years, patient-level (per 1-yr report methodology); abstract does not restate measurement method explicitly, inherited from index report","derived-borrowed(from 12m, same trial/arm); n=patients(cross-arch; implant conversion pending descriptives)"
cannizzaro-crossarch,30246183,short,maxilla,ungrafted,60,,0.30,0.040,5.0,5.0,bone,0,5,"peri-implant marginal bone level change from implant placement to 5 years, patient-level (per 1-yr report methodology); abstract does not restate measurement method explicitly, inherited from index report","derived-borrowed(from 12m, same trial/arm); n=patients(cross-arch; implant conversion pending descriptives)"
cannizzaro-crossarch,30246183,long,maxilla,ungrafted,60,,0.89,0.120,11.5,4.1,bone,1.25,,"peri-implant marginal bone level change from implant placement to 5 years, patient-level (per 1-yr report methodology); abstract does not restate measurement method explicitly, inherited from index report","derived-borrowed(from 12m, same trial/arm); n=patients(cross-arch; implant conversion pending descriptives)"
W2005148312,25692556,short,mixed,ungrafted,0,30,1.78,0.55,6.0,4.1,tissue,1.8,6,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
W2005148312,25692556,long,mixed,ungrafted,0,30,2.10,0.68,10.0,4.1,tissue,1.8,10,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
W2005148312,25692556,short,mixed,ungrafted,2,30,2.16,0.45,6.0,4.1,tissue,1.8,6,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
W2005148312,25692556,long,mixed,ungrafted,2,30,2.46,0.57,10.0,4.1,tissue,1.8,10,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
W2005148312,25692556,short,mixed,ungrafted,12,30,2.29,0.46,6.0,4.1,tissue,1.8,6,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
W2005148312,25692556,long,mixed,ungrafted,12,30,2.55,0.53,10.0,4.1,tissue,1.8,10,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
W2005148312,25692556,short,mixed,ungrafted,24,30,2.31,0.50,6.0,4.1,tissue,1.8,6,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
W2005148312,25692556,long,mixed,ungrafted,24,30,2.55,0.56,10.0,4.1,tissue,1.8,10,"Distance from the implant shoulder (IS) to the first mesial/distal radiographic bone-to-implant contact, measured with a magnifying gradient index lens (x10); standardized intraoral radiographs with individualized templates. TS = time of surgery (implant placement) treated as the earliest baseline; the paper also separately reports 'loss in relation to previous period' deltas (Table 3) and explicitly isolates the placement-to-prosthesis-delivery (TS->T0) resorption as distinct from the functional-loading period (T0->T5). Sign convention: all values are positive/increasing bone-level distances = progressive bone loss; no negative-value convention used, no bone gain reported at either arm at any timepoint in Table 3.",
